,fold,n_neighbors,algorithm,value,dataset
120,0,100,leig,0.6701854493580599,MNIST
121,1,100,leig,0.6669520547945206,MNIST
122,2,100,leig,0.6615296803652968,MNIST
123,3,100,leig,0.657151013417071,MNIST
124,4,100,leig,0.6744717304397487,MNIST
125,5,100,leig,0.675235646958012,MNIST
126,6,100,leig,0.6600971151099686,MNIST
127,7,100,leig,0.6560982576406741,MNIST
128,8,100,leig,0.657526421022565,MNIST
129,9,100,leig,0.6772350756926593,MNIST
130,10,100,leig,0.668,MNIST
131,11,100,leig,0.6771428571428572,MNIST
132,12,100,leig,0.6591428571428571,MNIST
133,13,100,leig,0.6586620926243568,MNIST
134,14,100,leig,0.6672384219554031,MNIST
135,15,100,leig,0.6755288736420811,MNIST
136,16,100,leig,0.6737203317128968,MNIST
137,17,100,leig,0.6739130434782609,MNIST
138,18,100,leig,0.6778254649499285,MNIST
139,19,100,leig,0.6763948497854078,MNIST
140,0,200,leig,0.6704707560627675,MNIST
141,1,200,leig,0.665810502283105,MNIST
142,2,200,leig,0.661244292237443,MNIST
143,3,200,leig,0.6614330573793891,MNIST
144,4,200,leig,0.6701884637350086,MNIST
145,5,200,leig,0.6749500142816338,MNIST
146,6,200,leig,0.662382176520994,MNIST
147,7,200,leig,0.657526421022565,MNIST
148,8,200,leig,0.6549557269351614,MNIST
149,9,200,leig,0.6755212796343901,MNIST
150,10,200,leig,0.6622857142857143,MNIST
151,11,200,leig,0.6774285714285714,MNIST
152,12,200,leig,0.652,MNIST
153,13,200,leig,0.6623785020011436,MNIST
154,14,200,leig,0.6689536878216124,MNIST
155,15,200,leig,0.676672384219554,MNIST
156,16,200,leig,0.6691449814126395,MNIST
157,17,200,leig,0.6716247139588101,MNIST
158,18,200,leig,0.6783977110157368,MNIST
159,19,200,leig,0.6746781115879829,MNIST
160,0,400,leig,0.6696148359486448,MNIST
161,1,400,leig,0.6678082191780822,MNIST
162,2,400,leig,0.6621004566210046,MNIST
163,3,400,leig,0.6548672566371682,MNIST
164,4,400,leig,0.6604797258709308,MNIST
165,5,400,leig,0.6749500142816338,MNIST
166,6,400,leig,0.6552413596115395,MNIST
167,7,400,leig,0.6580976863753213,MNIST
168,8,400,leig,0.6492430734075978,MNIST
169,9,400,leig,0.6692373607540703,MNIST
170,10,400,leig,0.6582857142857143,MNIST
171,11,400,leig,0.674,MNIST
172,12,400,leig,0.652,MNIST
173,13,400,leig,0.6583762149799885,MNIST
174,14,400,leig,0.6649514008004574,MNIST
175,15,400,leig,0.6720983419096627,MNIST
176,16,400,leig,0.6691449814126395,MNIST
177,17,400,leig,0.6676201372997712,MNIST
178,18,400,leig,0.6743919885550786,MNIST
179,19,400,leig,0.6718168812589413,MNIST
180,0,800,leig,0.666191155492154,MNIST
181,1,800,leig,0.665810502283105,MNIST
182,2,800,leig,0.656107305936073,MNIST
183,3,800,leig,0.6494433342848986,MNIST
184,4,800,leig,0.655625356938892,MNIST
185,5,800,leig,0.6675235646958012,MNIST
186,6,800,leig,0.6523850328477577,MNIST
187,7,800,leig,0.6532419308768923,MNIST
188,8,800,leig,0.6455298486146815,MNIST
189,9,800,leig,0.6683804627249358,MNIST
190,10,800,leig,0.6534285714285715,MNIST
191,11,800,leig,0.6708571428571428,MNIST
192,12,800,leig,0.6471428571428571,MNIST
193,13,800,leig,0.6552315608919382,MNIST
194,14,800,leig,0.6540880503144654,MNIST
195,15,800,leig,0.6666666666666666,MNIST
196,16,800,leig,0.6659994280812125,MNIST
197,17,800,leig,0.6633295194508009,MNIST
198,18,800,leig,0.6686695278969957,MNIST
199,19,800,leig,0.6715307582260372,MNIST
200,0,1600,leig,0.6507845934379458,MNIST
201,1,1600,leig,0.6521118721461188,MNIST
202,2,1600,leig,0.644406392694064,MNIST
203,3,1600,leig,0.6471595775049958,MNIST
204,4,1600,leig,0.6476299257567104,MNIST
205,5,1600,leig,0.6612396458154813,MNIST
206,6,1600,leig,0.6418166238217652,MNIST
207,7,1600,leig,0.6469580119965724,MNIST
208,8,1600,leig,0.6412453584690089,MNIST
209,9,1600,leig,0.6583833190516996,MNIST
210,10,1600,leig,0.646,MNIST
211,11,1600,leig,0.6637142857142857,MNIST
212,12,1600,leig,0.6405714285714286,MNIST
213,13,1600,leig,0.6472269868496283,MNIST
214,14,1600,leig,0.6483704974271012,MNIST
215,15,1600,leig,0.6552315608919382,MNIST
216,16,1600,leig,0.6525593365742065,MNIST
217,17,1600,leig,0.6590389016018307,MNIST
218,18,1600,leig,0.6618025751072961,MNIST
219,19,1600,leig,0.6583690987124463,MNIST
220,0,3200,leig,0.6388017118402283,MNIST
221,1,3200,leig,0.6307077625570776,MNIST
222,2,3200,leig,0.6284246575342466,MNIST
223,3,3200,leig,0.6345989152155296,MNIST
224,4,3200,leig,0.6390633923472302,MNIST
225,5,3200,leig,0.652670665524136,MNIST
226,6,3200,leig,0.6269637246501,MNIST
227,7,3200,leig,0.631819480148529,MNIST
228,8,3200,leig,0.6266780919737218,MNIST
229,9,3200,leig,0.6449585832619251,MNIST
230,10,3200,leig,0.6391428571428571,MNIST
231,11,3200,leig,0.6514285714285715,MNIST
232,12,3200,leig,0.626,MNIST
233,13,3200,leig,0.6423670668953688,MNIST
234,14,3200,leig,0.6349342481417953,MNIST
235,15,3200,leig,0.6449399656946827,MNIST
236,16,3200,leig,0.6488418644552474,MNIST
237,17,3200,leig,0.6464530892448512,MNIST
238,18,3200,leig,0.6483547925608012,MNIST
239,19,3200,leig,0.6457796852646638,MNIST
240,0,100,lvis,0.9620542082738944,MNIST
241,1,100,lvis,0.9657534246575342,MNIST
242,2,100,lvis,0.9563356164383562,MNIST
243,3,100,lvis,0.9603197259491865,MNIST
244,4,100,lvis,0.9603083952027412,MNIST
245,5,100,lvis,0.9685804055984004,MNIST
246,6,100,lvis,0.9665809768637532,MNIST
247,7,100,lvis,0.9617252213653242,MNIST
248,8,100,lvis,0.9542987717794916,MNIST
249,9,100,lvis,0.9611539560125678,MNIST
250,10,100,lvis,0.9611428571428572,MNIST
251,11,100,lvis,0.9648571428571429,MNIST
252,12,100,lvis,0.9614285714285714,MNIST
253,13,100,lvis,0.9554030874785592,MNIST
254,14,100,lvis,0.9636935391652373,MNIST
255,15,100,lvis,0.9605488850771869,MNIST
256,16,100,lvis,0.9754074921361167,MNIST
257,17,100,lvis,0.9470823798627003,MNIST
258,18,100,lvis,0.9545064377682403,MNIST
259,19,100,lvis,0.9805436337625179,MNIST
260,0,200,lvis,0.9609129814550642,MNIST
261,1,200,lvis,0.9657534246575342,MNIST
262,2,200,lvis,0.9549086757990868,MNIST
263,3,200,lvis,0.9597487867542107,MNIST
264,4,200,lvis,0.9597372929754426,MNIST
265,5,200,lvis,0.967723507569266,MNIST
266,6,200,lvis,0.9654384461582405,MNIST
267,7,200,lvis,0.9617252213653242,MNIST
268,8,200,lvis,0.953441873750357,MNIST
269,9,200,lvis,0.9608683233361897,MNIST
270,10,200,lvis,0.9605714285714285,MNIST
271,11,200,lvis,0.9634285714285714,MNIST
272,12,200,lvis,0.9602857142857143,MNIST
273,13,200,lvis,0.955117209834191,MNIST
274,14,200,lvis,0.9631217838765008,MNIST
275,15,200,lvis,0.9596912521440824,MNIST
276,16,200,lvis,0.9748355733485845,MNIST
277,17,200,lvis,0.9470823798627003,MNIST
278,18,200,lvis,0.9550786838340486,MNIST
279,19,200,lvis,0.9805436337625179,MNIST
280,0,400,lvis,0.9609129814550642,MNIST
281,1,400,lvis,0.9654680365296804,MNIST
282,2,400,lvis,0.954337899543379,MNIST
283,3,400,lvis,0.9600342563516986,MNIST
284,4,400,lvis,0.9594517418617933,MNIST
285,5,400,lvis,0.9674378748928878,MNIST
286,6,400,lvis,0.9651528134818623,MNIST
287,7,400,lvis,0.9617252213653242,MNIST
288,8,400,lvis,0.953441873750357,MNIST
289,9,400,lvis,0.9605826906598115,MNIST
290,10,400,lvis,0.9608571428571429,MNIST
291,11,400,lvis,0.9634285714285714,MNIST
292,12,400,lvis,0.9602857142857143,MNIST
293,13,400,lvis,0.9542595769010863,MNIST
294,14,400,lvis,0.9634076615208691,MNIST
295,15,400,lvis,0.9596912521440824,MNIST
296,16,400,lvis,0.9748355733485845,MNIST
297,17,400,lvis,0.9467963386727689,MNIST
298,18,400,lvis,0.9547925608011445,MNIST
299,19,400,lvis,0.9805436337625179,MNIST
300,0,800,lvis,0.9603423680456491,MNIST
301,1,800,lvis,0.9651826484018264,MNIST
302,2,800,lvis,0.9531963470319634,MNIST
303,3,800,lvis,0.9594633171567228,MNIST
304,4,800,lvis,0.9594517418617933,MNIST
305,5,800,lvis,0.9674378748928878,MNIST
306,6,800,lvis,0.9654384461582405,MNIST
307,7,800,lvis,0.961439588688946,MNIST
308,8,800,lvis,0.9537275064267352,MNIST
309,9,800,lvis,0.9602970579834333,MNIST
310,10,800,lvis,0.9611428571428572,MNIST
311,11,800,lvis,0.9634285714285714,MNIST
312,12,800,lvis,0.9597142857142857,MNIST
313,13,800,lvis,0.9531160663236135,MNIST
314,14,800,lvis,0.9625500285877644,MNIST
315,15,800,lvis,0.9594053744997141,MNIST
316,16,800,lvis,0.9751215327423506,MNIST
317,17,800,lvis,0.9459382151029748,MNIST
318,18,800,lvis,0.9547925608011445,MNIST
319,19,800,lvis,0.9805436337625179,MNIST
320,0,1600,lvis,0.9457917261055635,MNIST
321,1,1600,lvis,0.9574771689497716,MNIST
322,2,1600,lvis,0.9383561643835616,MNIST
323,3,1600,lvis,0.9360548101627176,MNIST
324,4,1600,lvis,0.9457452884066248,MNIST
325,5,1600,lvis,0.9528706083976007,MNIST
326,6,1600,lvis,0.9494430162810625,MNIST
327,7,1600,lvis,0.9497286489574407,MNIST
328,8,1600,lvis,0.9400171379605827,MNIST
329,9,1600,lvis,0.9463010568409026,MNIST
330,10,1600,lvis,0.9428571428571428,MNIST
331,11,1600,lvis,0.946,MNIST
332,12,1600,lvis,0.9405714285714286,MNIST
333,13,1600,lvis,0.9473985134362493,MNIST
334,14,1600,lvis,0.956546598056032,MNIST
335,15,1600,lvis,0.9436821040594625,MNIST
336,16,1600,lvis,0.9639691163854732,MNIST
337,17,1600,lvis,0.9353546910755148,MNIST
338,18,1600,lvis,0.9490701001430615,MNIST
339,19,1600,lvis,0.9567954220314735,MNIST
340,0,3200,lvis,0.9283880171184022,MNIST
341,1,3200,lvis,0.9275114155251142,MNIST
342,2,3200,lvis,0.9118150684931506,MNIST
343,3,3200,lvis,0.9169283471310306,MNIST
344,4,3200,lvis,0.9189034837235865,MNIST
345,5,3200,lvis,0.9265924021708083,MNIST
346,6,3200,lvis,0.9177377892030848,MNIST
347,7,3200,lvis,0.9157383604684376,MNIST
348,8,3200,lvis,0.9143101970865467,MNIST
349,9,3200,lvis,0.9183090545558412,MNIST
350,10,3200,lvis,0.9177142857142857,MNIST
351,11,3200,lvis,0.924,MNIST
352,12,3200,lvis,0.916,MNIST
353,13,3200,lvis,0.9148084619782733,MNIST
354,14,3200,lvis,0.9219554030874786,MNIST
355,15,3200,lvis,0.9230989136649514,MNIST
356,16,3200,lvis,0.935945095796397,MNIST
357,17,3200,lvis,0.9007437070938215,MNIST
358,18,3200,lvis,0.911587982832618,MNIST
359,19,3200,lvis,0.9379113018597998,MNIST
360,0,100,pca,0.46276747503566334,MNIST
361,1,100,pca,0.4660388127853881,MNIST
362,2,100,pca,0.4666095890410959,MNIST
363,3,100,pca,0.44190693691121896,MNIST
364,4,100,pca,0.4628783552255854,MNIST
365,5,100,pca,0.4518708940302771,MNIST
366,6,100,pca,0.46643816052556414,MNIST
367,7,100,pca,0.4481576692373608,MNIST
368,8,100,pca,0.4518708940302771,MNIST
369,9,100,pca,0.4524421593830334,MNIST
370,10,100,pca,0.44542857142857145,MNIST
371,11,100,pca,0.47114285714285714,MNIST
372,12,100,pca,0.4582857142857143,MNIST
373,13,100,pca,0.4611206403659234,MNIST
374,14,100,pca,0.47427101200686106,MNIST
375,15,100,pca,0.46283590623213267,MNIST
376,16,100,pca,0.4815556191020875,MNIST
377,17,100,pca,0.4633867276887872,MNIST
378,18,100,pca,0.4798283261802575,MNIST
379,19,100,pca,0.4804005722460658,MNIST
380,0,200,pca,0.4607703281027104,MNIST
381,1,200,pca,0.4677511415525114,MNIST
382,2,200,pca,0.4791666666666667,MNIST
383,3,200,pca,0.44990008564087924,MNIST
384,4,200,pca,0.4734437464306111,MNIST
385,5,200,pca,0.44958583261925167,MNIST
386,6,200,pca,0.4695801199657241,MNIST
387,7,200,pca,0.46472436446729504,MNIST
388,8,200,pca,0.4555841188231934,MNIST
389,9,200,pca,0.45758354755784064,MNIST
390,10,200,pca,0.4542857142857143,MNIST
391,11,200,pca,0.4702857142857143,MNIST
392,12,200,pca,0.45257142857142857,MNIST
393,13,200,pca,0.4671240708976558,MNIST
394,14,200,pca,0.47398513436249284,MNIST
395,15,200,pca,0.4719839908519154,MNIST
396,16,200,pca,0.48813268515870745,MNIST
397,17,200,pca,0.4642448512585812,MNIST
398,18,200,pca,0.48726752503576537,MNIST
399,19,200,pca,0.4844062947067239,MNIST
400,0,400,pca,0.46904422253922967,MNIST
401,1,400,pca,0.4651826484018265,MNIST
402,2,400,pca,0.4803082191780822,MNIST
403,3,400,pca,0.44390522409363403,MNIST
404,4,400,pca,0.4694460308395203,MNIST
405,5,400,pca,0.4535846900885461,MNIST
406,6,400,pca,0.47643530419880037,MNIST
407,7,400,pca,0.4670094258783205,MNIST
408,8,400,pca,0.46043987432162237,MNIST
409,9,400,pca,0.45815481291059695,MNIST
410,10,400,pca,0.45285714285714285,MNIST
411,11,400,pca,0.4682857142857143,MNIST
412,12,400,pca,0.4574285714285714,MNIST
413,13,400,pca,0.46855345911949686,MNIST
414,14,400,pca,0.4748427672955975,MNIST
415,15,400,pca,0.4694110920526015,MNIST
416,16,400,pca,0.4875607663711753,MNIST
417,17,400,pca,0.46824942791762014,MNIST
418,18,400,pca,0.4889842632331903,MNIST
